epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1822,4.283,9.41083,2.18779,0.14336,0.13022,0.06292,0.01947,2.52784,11.3157,1.26363,0.000664474,0.000664474,0.000664474
2,48.6438,3.19597,2.98216,1.46202,0.27409,0.2854,0.17573,0.06093,2.14232,4.71032,1.1397,0.00128721,0.00128721,0.00128721
3,69.2137,2.87203,2.91506,1.36422,0.32275,0.3892,0.24598,0.09138,1.94308,3.14886,1.01671,0.00186595,0.00186595,0.00186595
4,89.5873,2.75058,2.75629,1.29379,0.31915,0.39729,0.24462,0.0885,1.96419,3.0994,1.01658,0.001802,0.001802,0.001802
5,110.131,2.54757,2.50876,1.23816,0.39668,0.45512,0.34006,0.12704,1.81253,3.14547,0.96843,0.001736,0.001736,0.001736
