epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4297,2.19333,3.13925,1.08683,0.76131,0.70144,0.73478,0.33793,1.60383,2.45753,0.86368,0.000664474,0.000664474,0.000664474
2,47.3292,1.91272,1.39642,1.00397,0.85669,0.76413,0.82612,0.39584,1.56848,2.10499,0.86637,0.00106757,0.00106757,0.00106757
3,70.2819,1.81202,1.38402,0.9918,0.86069,0.67878,0.7765,0.39451,1.55197,1.1087,0.8393,0.00120668,0.00120668,0.00120668
4,92.5141,1.75784,1.25835,0.97409,0.87678,0.77273,0.84093,0.43966,1.44037,0.92846,0.8232,0.000812,0.000812,0.000812
5,114.918,1.62637,1.0884,0.94632,0.90134,0.80415,0.87331,0.47358,1.39875,0.89562,0.80146,0.000416,0.000416,0.000416
