epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9541,4.45006,9.8575,2.23718,0.09557,0.05786,0.03132,0.00993,2.96481,6.56724,1.34018,0.000664474,0.000664474,0.000664474
2,42.0852,3.53813,3.38709,1.54898,0.19378,0.12704,0.08217,0.02542,2.23442,6.17135,1.15189,0.00128721,0.00128721,0.00128721
3,61.429,3.30597,3.40171,1.496,0.10949,0.23352,0.06809,0.02078,2.18617,6.69954,1.10304,0.00186595,0.00186595,0.00186595
4,79.4169,3.26421,3.45139,1.43418,0.2165,0.0977,0.08042,0.02734,2.14783,4.97979,1.06772,0.001802,0.001802,0.001802
