epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6813,2.19333,3.13925,1.08683,0.76131,0.70144,0.73478,0.33793,1.60383,2.45753,0.86368,0.000664474,0.000664474,0.000664474
2,46.9144,1.93598,1.3977,1.0097,0.83072,0.73102,0.79748,0.40731,1.49416,1.53138,0.84149,0.00126525,0.00126525,0.00126525
3,70.2892,1.87568,1.49965,1.0081,0.82728,0.69141,0.7777,0.39064,1.57199,1.23578,0.85821,0.00180002,0.00180002,0.00180002
4,92.1016,1.85045,1.40578,0.99414,0.84376,0.6751,0.77963,0.35376,1.5921,1.17297,0.8489,0.001703,0.001703,0.001703
5,113.066,1.76013,1.29736,0.97801,0.80717,0.76295,0.77945,0.33841,1.60713,1.23061,0.84892,0.001604,0.001604,0.001604
6,136.781,1.74426,1.1294,0.96683,0.885,0.78767,0.8536,0.45025,1.39547,1.01558,0.81683,0.001505,0.001505,0.001505
7,158.345,1.72054,1.10065,0.96976,0.89901,0.80812,0.8678,0.47118,1.33268,5.20258,0.7994,0.001406,0.001406,0.001406
8,181.658,1.68001,1.04807,0.95083,0.91372,0.78664,0.87964,0.47256,1.40008,0.85995,0.81468,0.001307,0.001307,0.001307
9,203.388,1.63314,1.00424,0.93176,0.91072,0.81004,0.88686,0.50469,1.30849,0.77939,0.79183,0.001208,0.001208,0.001208
10,225.656,1.65241,0.99512,0.94934,0.89843,0.76839,0.85984,0.45124,1.47303,0.9368,0.81204,0.001109,0.001109,0.001109
11,247.598,1.5768,1.11416,0.93325,0.9074,0.78732,0.87263,0.47687,1.40353,0.85864,0.80801,0.00101,0.00101,0.00101
