epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1245,4.283,9.41083,2.18779,0.14336,0.13022,0.06292,0.01947,2.52784,11.3157,1.26363,0.000664474,0.000664474,0.000664474
2,44.9571,3.19597,2.98216,1.46202,0.27409,0.2854,0.17573,0.06093,2.14232,4.71032,1.1397,0.00128721,0.00128721,0.00128721
3,65.1745,2.87203,2.91506,1.36422,0.32275,0.3892,0.24598,0.09138,1.94308,3.14886,1.01671,0.00186595,0.00186595,0.00186595
4,85.6862,2.75058,2.75629,1.29379,0.31915,0.39729,0.24462,0.0885,1.96419,3.0994,1.01658,0.001802,0.001802,0.001802
5,106.062,2.54757,2.50876,1.23816,0.39668,0.45512,0.34006,0.12704,1.81253,3.14547,0.96843,0.001736,0.001736,0.001736
6,126.124,2.51231,2.33402,1.20459,0.44113,0.4922,0.38447,0.10479,2.15697,2.9225,1.07463,0.00167,0.00167,0.00167
7,148.323,2.44377,2.24629,1.1899,0.45383,0.49971,0.40488,0.14393,1.90459,3.2283,0.97286,0.001604,0.001604,0.001604
8,169.931,2.36627,2.18204,1.15364,0.50858,0.49235,0.44186,0.13991,2.00012,2.09186,1.00277,0.001538,0.001538,0.001538
