epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.478,4.283,9.41083,2.18779,0.14336,0.13022,0.06292,0.01947,2.52784,11.3157,1.26363,0.000664474,0.000664474,0.000664474
2,45.3688,3.19597,2.98216,1.46202,0.27409,0.2854,0.17573,0.06093,2.14232,4.71032,1.1397,0.00128721,0.00128721,0.00128721
3,65.3394,2.87203,2.91506,1.36422,0.32275,0.3892,0.24598,0.09138,1.94308,3.14886,1.01671,0.00186595,0.00186595,0.00186595
4,85.2454,2.75058,2.75629,1.29379,0.31915,0.39729,0.24462,0.0885,1.96419,3.0994,1.01658,0.001802,0.001802,0.001802
5,105.809,2.54757,2.50876,1.23816,0.39668,0.45512,0.34006,0.12704,1.81253,3.14547,0.96843,0.001736,0.001736,0.001736
6,126.184,2.51231,2.33402,1.20459,0.44113,0.4922,0.38447,0.10479,2.15697,2.9225,1.07463,0.00167,0.00167,0.00167
7,146.5,2.44377,2.24629,1.1899,0.45383,0.49971,0.40488,0.14393,1.90459,3.2283,0.97286,0.001604,0.001604,0.001604
8,166.945,2.36627,2.18204,1.15364,0.50858,0.49235,0.44186,0.13991,2.00012,2.09186,1.00277,0.001538,0.001538,0.001538
9,185.94,2.28558,2.19083,1.11841,0.53693,0.58334,0.51553,0.1771,1.81037,1.52896,0.9603,0.001472,0.001472,0.001472
10,202.144,2.2641,2.15141,1.1354,0.60111,0.60845,0.57162,0.1681,2.07177,1.38315,1.02964,0.001406,0.001406,0.001406
11,218.273,2.23728,1.85588,1.1176,0.50853,0.50103,0.45824,0.16448,1.85425,1.3938,0.95379,0.00134,0.00134,0.00134
12,234.42,2.15838,1.87573,1.09534,0.61285,0.61354,0.59537,0.26276,1.64365,1.42609,0.90257,0.001274,0.001274,0.001274
13,253.12,2.14254,1.87831,1.10056,0.5761,0.59255,0.56266,0.23227,1.7352,1.39748,0.91407,0.001208,0.001208,0.001208
